Scheme Name,Category,Min Investment (₹),Risk Level,1Y Returns (%),3Y Returns (%),5Y Returns (%),Expense Ratio (%),AUM (Cr),Investment Type,Scheme Type,ISIN,SIP Available
BHARAT Bond ETF FOF - April 2033 - Direct (G),FoFs Domestic,100,Moderate,9.04,,,0.06,2297.1,Growth,Active Fund,INF754K01RC2,Yes
Aditya Birla SL Equity Hybrid '95 Fund-Direct (G),Aggressive Hybrid Fund,100,Very High,9.03,9.81,13.61,1.1,7312.62,Growth,Active Fund,INF209K01ZC0,Yes
HDFC Capital Builder Value Fund - Direct (G),Value Fund,100,Very High,9.02,16.89,19.28,1.01,6950.43,Growth,Active Fund,INF179K01VC4,Yes
PGIM India Dynamic Bond Fund - Direct (G),Dynamic Bond,5000,Moderately Low,9.02,7.32,6.48,0.35,105.2,Growth,Active Fund,INF663L01AD7,Yes
Helios Flexi Cap Fund - Direct (G),Flexi Cap Fund,5000,Very High,9.01,,,0.51,2548.89,Growth,Active Fund,INF0R8701046,Yes
ICICI Pru All Seasons Bond Fund - Direct (G),Dynamic Bond,5000,Moderate,9.01,7.74,7.68,0.59,13539.97,Growth,Active Fund,INF109K016E5,Yes
Baroda BNP Paribas Dynamic Bond Fund-Dir (G),Dynamic Bond,5000,Moderate,9.0,7.36,6.52,0.71,182.04,Growth,Active Fund,INF251K01GW0,Yes
Bandhan Balanced Advantage Fund - Direct (G),Dynamic Asset Allocation or Balanced Advantage,1000,Very High,8.99,9.94,10.63,0.77,2193.01,Growth,Active Fund,INF194KA1UH1,Yes
Franklin India Flexi Cap Fund - Direct (G),Flexi Cap Fund,5000,Very High,8.98,17.44,20.78,0.92,17202.58,Growth,Active Fund,INF090I01FK3,Yes
LIC MF Balanced Advantage Fund - Dir (G),Dynamic Asset Allocation or Balanced Advantage,5000,Very High,8.97,10.66,,0.78,769.41,Growth,Active Fund,INF767K01QY0,Yes
Kotak Equity Opportunities - Direct (G),Large & Mid Cap Fund,100,Very High,8.97,17.78,18.83,0.58,24533.81,Growth,Active Fund,INF174K01LF9,Yes
Tata ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,8.94,14.94,16.76,0.71,4397.93,Growth,Active Fund,INF277K01I86,Yes
ICICI Pru Balanced Advantage Fund - Dir (G),Dynamic Asset Allocation or Balanced Advantage,500,High,8.94,12.32,12.87,0.91,60347.26,Growth,Active Fund,INF109K012B0,Yes
Franklin India Floating Rate Fund - Direct (G),Floater Fund,1000,Moderately Low,8.94,7.45,6.46,0.23,287.82,Growth,Active Fund,INF090I01LK1,Yes
BHARAT Bond FOF - April 2031 - Direct (G),FoFs Domestic,100,Moderate,8.94,6.72,,0.06,4705.79,Growth,Active Fund,INF754K01LO0,Yes
Franklin India Bluechip Fund - Direct (G),Large Cap Fund,5000,Very High,8.93,12.08,15.36,1.13,7408.19,Growth,Active Fund,INF090I01FN7,Yes
Baroda BNP Paribas Credit Risk Fund-Dir (G),Credit Risk Fund,5000,Moderately High,8.92,7.57,8.91,0.79,169.08,Growth,Active Fund,INF955L01FR6,Yes
Nippon India Growth Fund - Direct (G),Mid Cap Fund,100,Very High,8.92,22.53,24.31,0.78,33033.09,Growth,Active Fund,INF204K01E54,Yes
Aditya Birla SL Dynamic Bond Fund - Dir (G),Dynamic Bond,1000,Moderate,8.91,7.99,7.53,0.64,1729.62,Growth,Active Fund,INF209K01N82,Yes
SBI Magnum Midcap Fund - Direct (G),Mid Cap Fund,5000,Very High,8.91,17.86,23.42,0.8,21177.2,Growth,Active Fund,INF200K01TP4,Yes
AXIS Conservative Hybrid Fund - Direct (G),Conservative Hybrid Fund,500,Moderately High,8.91,7.3,8.94,0.96,266.92,Growth,Active Fund,INF846K01EA8,Yes
Kotak Focused Equity Fund - Direct (G),Focused Fund,100,Very High,8.89,13.44,16.61,0.56,3348.54,Growth,Active Fund,INF174KA1EN7,Yes
Nippon India Nivesh Lakshya Fund - Direct (G),Long Duration Fund,5000,Moderate,8.89,7.49,6.69,0.3,9486.84,Growth,Active Fund,INF204KB1YQ1,Yes
ICICI Pru Nifty G-Sec Dec 2030 Index Fund-Dir (G),Index Fund,1000,Moderate,8.89,,,0.2,985.4,Growth,Passive Fund,INF109KC18K8,Yes
ICICI Pru Nifty SDL Dec 2028 Index Fund-Dir (G),Index Fund,1000,Moderate,8.89,,,0.2,983.62,Growth,Passive Fund,INF109KC14L5,Yes
ICICI Pru Floating Interest Fund-Direct (G),Floater Fund,500,Moderately Low,8.87,7.59,7.27,0.55,7198.34,Growth,Active Fund,INF109K01P57,Yes
Baroda BNP Paribas Aggressive Hybrid Fund-Dir (G),Aggressive Hybrid Fund,5000,Very High,8.86,14.44,15.53,0.58,1155.07,Growth,Active Fund,INF251K01OZ7,Yes
ICICI Pru Medium Term Bond Fund - Direct (G),Medium Duration Fund,5000,Moderately High,8.85,7.3,7.46,0.74,5695.11,Growth,Active Fund,INF109K015A5,Yes
Baroda BNP Paribas NIFTY SDL Dec 2028 Index Fund-Dir (G),Index Fund,5000,Moderate,8.84,,,0.19,32.81,Growth,Passive Fund,INF251K01RR7,Yes
Kotak Floating Rate Fund - Direct (G),Floater Fund,100,Moderately Low,8.83,6.85,7.12,0.25,3275.01,Growth,Active Fund,INF174KA1EC0,Yes
HDFC Gilt Fund - Direct (G),Gilt Fund,100,Moderate,8.82,6.45,6.16,0.46,2983.34,Growth,Active Fund,INF179K01VS0,Yes
SBI Credit Risk Fund - Direct (G),Credit Risk Fund,5000,Moderately High,8.82,7.66,7.54,0.89,2266.46,Growth,Active Fund,INF200K01SV4,Yes
360 ONE Dynamic Bond Fund - Direct (G),Dynamic Bond,10000,Moderate,8.82,6.86,6.96,0.27,719.78,Growth,Active Fund,INF579M01266,Yes
Nippon India Strategic Debt Fund - Direct (G),Medium Duration Fund,5000,Very High,8.8,6.43,1.84,0.51,114.68,Growth,Active Fund,INF204KA1QF1,Yes
ICICI Pru Bond Fund - Direct (G),Medium to Long Duration Fund,5000,Moderate,8.8,7.22,6.95,0.62,2909.3,Growth,Active Fund,INF109K01V83,Yes
Tata Nifty G-Sec Dec 2029 Index Fund-Dir (G),Index Fund,5000,Moderate,8.79,,,0.14,179.13,Growth,Passive Fund,INF277KA1737,Yes
Mirae Asset Nifty SDL June 2028 Index Fund-Dir (G),Index Fund,5000,Moderate,8.76,,,0.11,70.76,Growth,Passive Fund,INF769K01JZ8,No
Mahindra Manulife Focused Fund - Direct (G),Focused Fund,1000,Very High,8.76,20.42,,0.44,1883.51,Growth,Active Fund,INF174V01AG7,Yes
AXIS Credit Risk Fund - Direct (G),Credit Risk Fund,5000,Moderately High,8.76,7.28,7.4,0.8,411.36,Growth,Active Fund,INF846K01PJ5,Yes
Nippon India Nifty SDL Plus G-Sec-Jun2029 Maturity 70:30 IF-Dir (G),Index Fund,1000,Moderate,8.76,,,0.2,317.67,Growth,Passive Fund,INF204KC1AI7,Yes
HDFC Dynamic Debt Fund - Direct (G),Dynamic Bond,100,Moderate,8.76,6.93,7.34,0.75,812.25,Growth,Active Fund,INF179K01WB4,Yes
HSBC Medium Duration Fund - Direct (G),Medium Duration Fund,5000,Moderate,8.75,6.85,6.9,0.4,744.08,Growth,Active Fund,INF917K01TK4,Yes
Aditya Birla SL Pharma & Healthcare Fund - Dir (G),Sectoral / Thematic,1000,Very High,8.75,18.39,21.3,0.91,815.09,Growth,Active Fund,INF209KB1O25,Yes
AXIS Long Duration Fund - Direct (G),Long Duration Fund,5000,Moderate,8.74,,,0.32,528.62,Growth,Active Fund,INF846K014L3,Yes
Aditya Birla SL CRISIL IBX Gilt Apr 2029 IF-Dir (G),Index Fund,500,Moderate,8.72,,,0.21,700.95,Growth,Passive Fund,INF209KB12O3,Yes
Sundaram ELSS Tax Saver Fund - Direct (G),ELSS,500,Very High,8.71,13.74,17.72,1.7,1299.14,Growth,Active Fund,INF173K01HZ7,Yes
HDFC Nifty G-Sec Apr 2029 Index Fund - Dir (G),Index Fund,100,Moderately High,8.7,,,0.2,165.22,Growth,Passive Fund,INF179KC1FQ0,Yes
Aditya Birla SL Manufacturing Equity Fund-Dir (G),Sectoral / Thematic,1000,Very High,8.7,15.61,17.39,1.31,1112.11,Growth,Active Fund,INF209KA1YK0,Yes
Nippon India Corporate Bond Fund - Direct (G),Corporate Bond Fund,1000,Moderate,8.69,7.11,7.03,0.36,6195.39,Growth,Active Fund,INF204K01C15,Yes
Samco Active Momentum Fund - Direct (G),Sectoral / Thematic,5000,Very High,8.69,,,0.87,890.41,Growth,Active Fund,INF0K1H01081,Yes
BHARAT Bond FOF - April 2030 - Direct (G),FoFs Domestic,100,Moderate,8.68,6.68,7.12,0.06,6937.48,Growth,Active Fund,INF754K01KY1,Yes
Mahindra Manulife Dynamic Bond Fund-Dir (G),Dynamic Bond,1000,Moderate,8.68,6.47,5.61,0.39,79.26,Growth,Active Fund,INF174V01580,Yes
HSBC Dynamic Bond Fund - Direct (G),Dynamic Bond,5000,Moderate,8.68,6.89,6.2,0.19,157.91,Growth,Active Fund,INF917K01HA0,Yes
SBI CRISIL IBX Gilt Index-April 2029 Fund-Dir (G),Index Fund,5000,Moderate,8.67,,,0.21,2272.65,Growth,Passive Fund,INF200KA18Q6,Yes
Franklin India Debt Hybrid Fund - Dir (G),Conservative Hybrid Fund,10000,Moderately High,8.67,9.17,8.27,0.66,199.09,Growth,Active Fund,INF090I01GF1,Yes
ITI Dynamic Bond Fund - Direct (G),Dynamic Bond,5000,Moderately Low,8.66,7.41,,0.15,47.38,Growth,Active Fund,INF00XX01BC4,Yes
HDFC Corporate Bond Fund - Direct (G),Corporate Bond Fund,100,Moderate,8.66,6.76,6.96,0.36,32420.8,Growth,Active Fund,INF179K01XD8,Yes
HDFC Floating Rate Debt Fund - Direct (G),Floater Fund,100,Moderate,8.65,7.23,6.96,0.26,15085.23,Growth,Active Fund,INF179K01VQ4,Yes
AXIS Corporate Bond Fund - Direct (G),Corporate Bond Fund,100,Moderate,8.65,6.98,7.2,0.32,6132.9,Growth,Active Fund,INF846K01ZM8,Yes
Mahindra Manulife Short Duration Fund - Dir (G),Short Duration Fund,1000,Moderate,8.65,6.77,,0.29,66.39,Growth,Active Fund,INF174V01AM5,Yes
ITI Focused Equity Fund - Direct (G),Focused Fund,5000,Very High,8.64,,,0.6,482.56,Growth,Active Fund,INF00XX01CS8,Yes
Tata Corporate Bond Fund - Dir (G),Corporate Bond Fund,5000,Moderately Low,8.64,6.53,,0.32,2909.87,Growth,Active Fund,INF277KA1224,Yes
Edelweiss Large & Mid Cap Fund - Direct (G),Large & Mid Cap Fund,100,Very High,8.63,16.91,19.24,0.42,3610.13,Growth,Active Fund,INF843K01AL0,Yes
Nippon India Multi Cap Fund - Direct (G),Multi Cap Fund,100,Very High,8.62,22.92,21.82,0.78,37593.67,Growth,Active Fund,INF204K01XF9,Yes
Nippon India GSF - Direct (G),Gilt Fund,5000,Moderately Low,8.62,6.89,6.57,0.5,2131.84,Growth,Active Fund,INF204K01XP8,Yes
Nippon India GSF - Dir-Defined Maturity Date,Gilt Fund,5000,Moderately Low,8.62,6.89,6.57,0.5,2131.84,Growth,Active Fund,INF204K01E88,Yes
Old Bridge Focused Equity Fund - Direct (G),Focused Fund,5000,Very High,8.62,,,1.19,1153.42,Growth,Active Fund,INF0S5R01042,Yes
Bandhan Floating Rate Fund - Direct (G),Floater Fund,1000,Moderately Low,8.61,6.8,,0.31,274.79,Growth,Active Fund,INF194KB1BA5,Yes
PGIM India Gilt Fund - Direct (G),Gilt Fund,5000,Moderate,8.61,7.02,6.53,0.5,114.24,Growth,Active Fund,INF223J01ND7,Yes
Kotak Bond Fund - Direct (G),Medium to Long Duration Fund,100,Moderately Low,8.61,6.82,6.94,0.7,2087.67,Growth,Active Fund,INF174K01JC0,Yes
Aditya Birla SL Corporate Bond Fund-Dir (G),Corporate Bond Fund,100,Moderate,8.61,6.94,7.14,0.33,25495.12,Growth,Active Fund,INF209K01S38,Yes
Baroda BNP Paribas Corporate Bond Fund-Dir (G),Corporate Bond Fund,5000,Moderately Low,8.6,6.23,6.02,0.2,207.98,Growth,Active Fund,INF251K01GP4,Yes
SBI Long Duration Fund - Direct (G),Long Duration Fund,5000,Moderate,8.6,,,0.28,2884.82,Growth,Active Fund,INF200KA16T4,Yes
UTI-Small Cap Fund - Direct (G),Small Cap Fund,5000,Very High,8.6,17.15,,0.68,4351.22,Growth,Active Fund,INF789F1AUQ1,Yes
UTI-Dynamic Bond Fund - Direct (G),Dynamic Bond,500,Moderately Low,8.6,9.43,9.2,0.69,533.96,Growth,Active Fund,INF789F01XD4,Yes
UTI-Credit Risk Fund - Direct (G),Credit Risk Fund,500,Moderately High,8.59,6.96,4.1,1.12,302.33,Growth,Active Fund,INF789F01YB6,Yes
Nippon India Short Term Fund - Direct (G),Short Duration Fund,100,Moderate,8.58,6.81,6.97,0.37,5932.4,Growth,Active Fund,INF204K01B32,Yes
HDFC Long Duration Debt Fund - Direct (G),Long Duration Fund,100,Moderately High,8.58,,,0.3,5752.45,Growth,Active Fund,INF179KC1ET7,Yes
Kotak Dynamic Bond Fund - Direct (G),Dynamic Bond,100,Moderate,8.58,7.06,7.06,0.58,3035.23,Growth,Active Fund,INF174K01JU2,Yes
Aditya Birla SL Frontline Equity Fund - Direct (G),Large Cap Fund,100,Very High,8.58,13.7,16.09,1.01,28080.88,Growth,Active Fund,INF209K01YY7,Yes
SBI Magnum Medium Duration Fund - Direct (G),Medium Duration Fund,5000,Moderately High,8.58,6.91,7.18,0.71,6552.34,Growth,Active Fund,INF200K01VB0,Yes
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund-Dir (G),Index Fund,100,Moderate,8.57,,,0.19,156.31,Growth,Passive Fund,INF754K01PV6,Yes
LIC MF Conservative Hybrid Fund - Direct (G),Conservative Hybrid Fund,5000,Moderately High,8.57,6.77,7.1,1.22,49.98,Growth,Active Fund,INF767K01EO7,Yes
ICICI Pru Gilt Fund - Direct (G),Gilt Fund,5000,Moderate,8.57,7.59,7.33,0.56,6360.79,Growth,Active Fund,INF109K018C5,Yes
SBI Dynamic Bond Fund - Direct (G),Dynamic Bond,5000,Moderate,8.57,7.72,6.83,0.62,3339.52,Growth,Active Fund,INF200K01RD4,Yes
Tata Multi Asset Opportunities Fund - Dir (G),Multi Asset Allocation,5000,Very High,8.57,13.72,,0.49,3486.76,Growth,Active Fund,INF277K019Y3,Yes
Edelweiss Govt Securities Fund - Dir (G),Gilt Fund,100,Moderate,8.56,6.98,7.57,0.51,174.9,Growth,Active Fund,INF843K01GS2,Yes
Mahindra Manulife Large Cap Fund - Dir (G),Large Cap Fund,1000,Very High,8.56,13.54,16.39,0.66,586.71,Growth,Active Fund,INF174V01721,Yes
Aditya Birla SL Short Term Fund-Dir(G),Short Duration Fund,1000,Moderate,8.56,7.18,7.39,0.38,8140.73,Growth,Active Fund,INF209K01XK8,Yes
Mirae Asset Short Duration Fund - Direct (G),Short Duration Fund,5000,Moderately Low,8.55,6.71,6.46,0.27,342.45,Growth,Active Fund,INF769K01DX6,Yes
Kotak Corporate Bond Fund-Dir(G),Corporate Bond Fund,100,Moderately Low,8.55,6.76,6.66,0.34,14223.39,Growth,Active Fund,INF178L01BY0,Yes
Nippon India Floating Rate Fund - Direct (G),Floater Fund,5000,Moderately Low,8.54,6.84,6.97,0.32,7634.67,Growth,Active Fund,INF204K01E05,Yes
SBI Magnum Income Fund - Direct (G),Medium to Long Duration Fund,5000,Moderate,8.54,7.02,6.98,0.77,1890.38,Growth,Active Fund,INF200K01SR2,Yes
Edelweiss Multi Asset Allocation Fund - Dir (G),Multi Asset Allocation,100,Very High,8.54,,,0.4,1478.6,Growth,Active Fund,INF754K01RS8,Yes
AXIS Short Duration Fund - Direct (G),Short Duration Fund,5000,Moderate,8.54,6.9,6.9,0.35,8780.65,Growth,Active Fund,INF846K01EI1,Yes
Nippon India Nifty SDL Plus G-Sec-Jun2028 Maturity 70:30 IF-Dir (G),Index Fund,1000,Moderate,8.53,,,0.2,407.36,Growth,Passive Fund,INF204KC1741,Yes
Motilal Oswal 5 Year G-Sec Fund of Fund - Dir (G),FoFs Domestic,500,Moderately High,8.53,5.69,,0.13,30.24,Growth,Active Fund,INF247L01AQ1,Yes
Mirae Asset Large Cap Fund - Direct (G),Large Cap Fund,5000,Very High,8.52,11.38,14.67,0.59,37845.29,Growth,Active Fund,INF769K01AX2,Yes
ICICI Pru Credit Risk Fund - Direct (G),Credit Risk Fund,100,Moderately High,8.52,7.58,7.82,0.76,6215.51,Growth,Active Fund,INF109K01V00,Yes
UTI-Equity Savings Fund - Direct (G),Equity Savings,5000,Moderate,8.51,11.12,11.84,0.6,649.91,Growth,Active Fund,INF789F1A777,Yes
UTI-Nifty SDL Plus AAA PSU Bond Apr 2028 75:25 Index Fund-Dir (G),Index Fund,5000,Moderate,8.51,,,0.22,41.37,Growth,Passive Fund,INF789F1AXR3,Yes
Sundaram Short Duration Fund - Direct (G),Short Duration Fund,5000,Moderate,8.51,6.81,6.63,0.31,216.77,Growth,Active Fund,INF173K01GP0,Yes
Invesco India Gilt Fund - Direct (G),Gilt Fund,1000,Moderately Low,8.51,7.44,5.94,0.46,1227.23,Growth,Active Fund,INF205K01SN0,Yes
ICICI Pru Short Term Fund - Direct (G),Short Duration Fund,5000,Moderate,8.51,7.52,7.4,0.45,19847.73,Growth,Active Fund,INF109K013N3,Yes
HDFC Medium Term Debt Fund - Direct (G),Medium Duration Fund,100,Moderately High,8.5,6.73,6.98,0.65,3933.16,Growth,Active Fund,INF179K01WI9,Yes
DSP Strategic Bond Fund - Direct (G),Dynamic Bond,100,Moderately Low,8.5,7.12,6.87,0.53,1813.98,Growth,Active Fund,INF740K01QG4,Yes
HDFC Credit Risk Debt Fund - Direct (G),Credit Risk Fund,100,Moderately High,8.49,6.93,7.63,1.0,7286.31,Growth,Active Fund,INF179KA1FZ3,Yes
SBI Magnum Gilt Fund - Direct (G),Gilt Fund,5000,Moderate,8.49,7.63,7.11,0.46,11262.18,Growth,Active Fund,INF200K01SH3,Yes
Kotak Bond - Short Term Fund - Direct (G),Short Duration Fund,100,Moderate,8.49,6.68,6.72,0.38,16979.34,Growth,Active Fund,INF174K01JI7,Yes
SBI Corporate Bond Fund - Direct (G),Corporate Bond Fund,5000,Moderately Low,8.49,6.54,6.49,0.34,20302.63,Growth,Active Fund,INF200KA1YR4,Yes
Kotak Gilt Invest - PF & Trust Plan - Direct (G),Gilt Fund,5000,Moderately Low,8.48,7.14,7.23,0.47,4094.0,Growth,Active Fund,INF174K01KM7,Yes
ICICI Pru Nifty SDL Sep 2027 Index Fund-Dir (G),Index Fund,1000,Moderate,8.48,,,0.2,1763.5,Growth,Passive Fund,INF109KC14B6,Yes
Edelweiss Banking & Psu Debt Fund-Dir (G),Banking and PSU Fund,100,Moderate,8.48,6.34,6.79,0.39,269.52,Growth,Active Fund,INF843K01FC8,Yes
Bandhan CRISIL IBX 90:10 SDL Plus Gilt-Sep 2027 Index Fund-Dir (G),Index Fund,1000,Moderate,8.48,,,0.08,151.52,Growth,Passive Fund,INF194KB1EZ6,Yes
AXIS Income Advantage Fund of Funds - Dir (G),FoFs Domestic,100,Moderately High,8.48,6.8,6.83,0.23,137.62,Growth,Active Fund,INF846K01U09,Yes
HDFC Mid-Cap Opportunities Fund - Direct (G),Mid Cap Fund,100,Very High,8.47,24.77,25.2,0.76,73510.09,Growth,Active Fund,INF179K01XQ0,Yes
Mirae Asset Nifty SDL Jun 2027 Index Fund-Dir (G),Index Fund,5000,Moderate,8.47,,,0.21,810.07,Growth,Passive Fund,INF769K01IH8,No
SBI Floating Rate Debt Fund - Direct (G),Floater Fund,5000,Moderately Low,8.46,7.02,,0.26,1258.98,Growth,Active Fund,INF200KA1R64,Yes
HDFC Short Term Debt Fund - Direct (G),Short Duration Fund,100,Moderate,8.46,6.86,6.94,0.4,14109.65,Growth,Active Fund,INF179K01YM7,Yes
AXIS CRISIL IBX 50:50 Gilt Plus SDL June 2028 Index Fund-Dir (G),Index Fund,5000,Moderate,8.46,,,0.2,75.37,Growth,Passive Fund,INF846K010N7,Yes
Kotak Gilt - Invest Plan - Direct (G),Gilt Fund,100,Moderately Low,8.46,7.14,7.23,0.47,4094.0,Growth,Active Fund,INF174K01KE4,Yes
Bandhan Bond Fund - STP - Direct (G),Short Duration Fund,1000,Moderate,8.46,6.45,6.44,0.33,9640.99,Growth,Active Fund,INF194K01U07,Yes
AXIS Crisil IBX SDL May 2027 Index Fund - Dir (G),Index Fund,5000,Moderate,8.45,,,0.16,2239.63,Growth,Passive Fund,INF846K017G6,Yes
HDFC Income Fund - Direct (G),Medium to Long Duration Fund,100,Moderate,8.45,6.73,6.04,0.8,869.3,Growth,Active Fund,INF179K01WL3,Yes
Canara Robeco Flexi Cap Fund - Direct (G),Flexi Cap Fund,5000,Very High,8.45,12.6,16.43,0.58,12285.79,Growth,Active Fund,INF760K01EF0,Yes
Canara Robeco Conservative Hybrid Fund-Dir (G),Conservative Hybrid Fund,5000,Moderately High,8.45,8.31,9.43,0.73,929.89,Growth,Active Fund,INF760K01GB4,Yes
DSP Gilt Fund - Direct (G),Gilt Fund,100,Moderately High,8.44,7.3,7.2,0.57,1715.91,Growth,Active Fund,INF740K01NF3,Yes
Bandhan Financial Services Fund - Direct (G),Sectoral / Thematic,1000,Very High,8.44,,,0.65,923.94,Growth,Active Fund,INF194KB1GB2,Yes
SBI CRISIL IBX SDL Index-September 2027 Fund-Dir (G),Index Fund,5000,Moderate,8.44,,,0.23,1110.54,Growth,Passive Fund,INF200KA14R3,Yes
UTI-CRISIL SDL Maturity June 2027 Index Fund-Dir (G),Index Fund,5000,Moderate,8.44,,,0.17,74.53,Growth,Passive Fund,INF789F1AWZ8,Yes
Navi Aggressive Hybrid Fund - Direct (G),Aggressive Hybrid Fund,100,Very High,8.44,12.83,12.99,0.42,118.53,Growth,Active Fund,INF959L01CX3,Yes
Kotak Flexi Cap Fund - Direct (G),Flexi Cap Fund,100,Very High,8.43,14.24,15.18,0.65,49112.04,Growth,Active Fund,INF174K01LS2,Yes
HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Dir (G),Index Fund,5000,Moderate,8.43,,,0.23,1890.59,Growth,Passive Fund,INF336L01QH7,Yes
Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund-Dir (G),Index Fund,100,Moderate,8.43,,,0.21,594.84,Growth,Passive Fund,INF174KA1JT3,Yes
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 IF-Dir (G),Index Fund,500,Moderate,8.42,,,0.2,415.72,Growth,Passive Fund,INF209KB14N1,Yes
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir (G),FoFs Domestic,100,Moderate,8.42,6.53,6.52,0.19,10.93,Growth,Active Fund,INF084M01DP2,Yes
Invesco India Corporate Bond Fund-Direct (G),Corporate Bond Fund,1000,Moderate,8.42,6.39,6.41,0.28,5789.41,Growth,Active Fund,INF205K01RF8,Yes
Nippon India Income Fund - Direct (G),Medium to Long Duration Fund,5000,Moderately Low,8.42,7.3,6.64,0.67,401.37,Growth,Active Fund,INF204K01XS2,Yes
Aditya Birla SL Nifty SDL Sep 2027 Index Fund-Dir (G),Index Fund,500,Moderate,8.42,,,0.2,40.85,Growth,Passive Fund,INF209KB16T3,Yes
Kotak Banking & Financial Services Fund-Dir (G),Sectoral / Thematic,100,Very High,8.42,,,0.7,1027.25,Growth,Active Fund,INF174KA1MD1,Yes
DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund-Dir (G),Index Fund,100,Moderate,8.41,,,0.15,2191.76,Growth,Passive Fund,INF740KA1QV9,Yes
HSBC Gilt Fund - Direct (G),Gilt Fund,5000,Moderate,8.39,6.85,6.41,0.48,260.95,Growth,Active Fund,INF917K01FI7,Yes
Mirae Asset Equity Savings Fund - Direct (G),Equity Savings,5000,Moderately High,8.39,10.23,12.04,0.34,1370.74,Growth,Active Fund,INF769K01EK1,Yes
Bandhan G Sec Fund - Invst Plan - Direct (G),Gilt Fund,1000,Moderate,8.39,6.69,6.93,0.52,3658.06,Growth,Active Fund,INF194K01Q29,Yes
DSP Short Term Fund - Direct (G),Short Duration Fund,100,Moderately Low,8.38,6.54,6.32,0.34,2770.38,Growth,Active Fund,INF740K01NJ5,Yes
Quantum Dynamic Bond Fund - Direct (G),Dynamic Bond,500,Moderately Low,8.38,7.26,6.5,0.51,133.92,Growth,Active Fund,INF082J01176,Yes
Aditya Birla SL Income Fund - Dir (G),Medium to Long Duration Fund,1000,Moderate,8.37,6.24,6.78,0.74,2211.93,Growth,Active Fund,INF209K01WY1,Yes
Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund-Dir (G),Index Fund,100,Moderate,8.36,6.04,,0.2,7756.0,Growth,Passive Fund,INF174KA1IL2,Yes
Mirae Asset Corporate Bond Fund - Direct (G),Corporate Bond Fund,5000,Moderate,8.36,6.28,,0.22,41.56,Growth,Active Fund,INF769K01HD9,Yes
LIC MF Short Duration Fund - Direct (G),Short Duration Fund,5000,Moderate,8.36,6.43,6.38,0.36,120.93,Growth,Active Fund,INF767K01PW6,Yes
Nippon India Innovation Fund - Direct (G),Sectoral / Thematic,500,Very High,8.36,,,0.69,2277.0,Growth,Active Fund,INF204KC1BO3,Yes
Kotak Debt Hybrid Fund - Direct (G),Conservative Hybrid Fund,100,Moderately High,8.35,10.77,11.96,0.45,3051.69,Growth,Active Fund,INF174K01JZ1,Yes
Kotak Banking and PSU Debt Fund - Direct (G),Banking and PSU Fund,100,Moderate,8.35,6.7,6.72,0.39,5654.63,Growth,Active Fund,INF174K01KH7,Yes
HSBC Corporate Bond Fund - Direct (Growth),Corporate Bond Fund,5000,Moderate,8.35,6.18,6.47,0.3,5826.55,Growth,Active Fund,INF917K01HN3,Yes
Invesco India Credit Risk Fund - Direct (G),Credit Risk Fund,1000,Moderately Low,8.35,8.38,7.5,0.28,141.86,Growth,Active Fund,INF205K01I83,Yes
Baroda BNP Paribas Short Duration Fund-Dir (G),Short Duration Fund,5000,Moderate,8.35,6.71,6.32,0.38,197.14,Growth,Active Fund,INF955L01BD5,Yes
HSBC Medium to Long Duration Fund - Direct (G),Medium to Long Duration Fund,5000,Moderate,8.35,5.9,5.61,0.67,48.51,Growth,Active Fund,INF336L01DE2,Yes
Invesco India Medium Duration Fund-Dir(G),Medium Duration Fund,1000,Moderate,8.34,6.27,,0.4,169.49,Growth,Active Fund,INF205KA1429,Yes
Franklin India Pension Plan - Direct (G),Retirement Fund,500,Moderately High,8.34,10.08,9.38,1.51,506.27,Growth,Active Fund,INF090I01JZ3,Yes
HDFC Retirement Savings Fund - Equity - Dir (G),Retirement Fund,100,Very High,8.34,19.79,22.74,0.75,5897.09,Growth,Active Fund,INF179KB1MF0,Yes
ICICI Pru Debt Management Fund (FOF)-Dir (G),FoFs Domestic,100,Moderate,8.34,7.12,6.82,0.41,113.45,Growth,Active Fund,INF109K01X73,Yes
Navi Large & Midcap Fund - Direct (G),Large & Mid Cap Fund,100,Very High,8.33,12.48,16.49,0.35,303.69,Growth,Active Fund,INF959L01CH6,Yes
PGIM India Corporate Bond Fund - Direct (G),Corporate Bond Fund,5000,Moderately Low,8.32,6.59,6.65,0.28,94.77,Growth,Active Fund,INF223J01OO2,Yes
Bajaj Finserv Banking and PSU Fund - Dir (G),Banking and PSU Fund,1000,Moderate,8.31,,,0.34,114.55,Growth,Active Fund,INF0QA701607,Yes
AXIS Dynamic Bond Fund - Direct (G),Dynamic Bond,5000,Moderate,8.31,6.33,6.54,0.33,1366.81,Growth,Active Fund,INF846K01DI3,Yes
